student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json
267,,21.0,male,90.0,,Josephbury,marcus14@thomas-wong.biz,2023-06-26 19:20:47,ds,114,active,2.0,excellent,203.0,2018-03-23 00:00:00,"63287 Donna Walk, Savageborough","{'hobbies': ['week', 'group'], 'skills': {'tech': {'python': 2, 'excel': 3, 'sql': 5}, 'soft': ['form', 'mean']}, 'family': {'siblings': 3, 'income': {'father': 335, 'mother': 1183}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}"
268,Adam Bowman,20.0,female,90.0,,North Brentport,,2020-10-31 14:05:24,python,84,inactive,,average,239.0,2023-02-16 17:15:43,"Apartment 20, Lake Stacy district, Tashkent, UZ, 100919","{hobbies:['after', 'treatment']}"
269,,19.0,female,,485-944-9082,Lake Amberstad,,2023-11-03 06:30:07,data science,104,inactive,2.0,,128.0,2022-12-10 16:21:33,"42654 Obrien Stream Apt. 484, North Ianberg","{'hobbies': ['why', 'up'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 4}, 'soft': ['several', 'consider']}, 'family': {'siblings': 5, 'income': {'father': 280, 'mother': 1029}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2016}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}"
270,,,,96.0,,Patrickhaven,nelsonanna@hotmail.com,2021-09-08 06:19:22,data science,100,active,2.0,average,216.0,1986-04-14 20:33:44,"0553 Joseph Crest, Port Stephenchester","{'hobbies': ['watch', 'step'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['idea', 'cut']}, 'family': {'siblings': 2, 'income': {'father': 618, 'mother': 407}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2015}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}"
271,,,female,,(267)917-6512-72487,Rachelstad,troy76@yahoo.com,,python,100,active,4.5,excellent,227.0,1988-04-19 11:33:00,UZ 100416 Tashkent Lake John,"{'hobbies': ['word', 'move'], 'skills': {'tech': {'python': 2, 'excel': 5, 'sql': 2}, 'soft': ['coach', 'decision']}, 'family': {'siblings': 4, 'income': {'father': 1043, 'mother': 1206}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2015}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}"
272,,20.0,female,73.0,140-799-2436,Davidside,pricesamuel@young.com,2010-08-23 18:40:24,data science,109,inactive,,good,234.0,2009-02-28 00:00:00,"Apartment 20, Rileyside district, Tashkent, UZ, 100580","{'hobbies': ['anything', 'hospital'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 1}, 'soft': ['age', 'police']}, 'family': {'siblings': 5, 'income': {'father': 586, 'mother': 1160}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2024}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}"
273,,,,90.0,,Rayfurt,,1982-01-08 00:00:00,data science,93,inactive,3.51,average,214.0,2023-03-27 12:29:50,"2917 Connie Motorway, West Jamie","{hobbies:['top', 'air']}"
274,April Sharp,20.0,male,79.0,132-149-7176,Guzmanbury,allison39@hotmail.com,2007-01-26 08:08:12,data science,110,active,4.24,average,127.0,1977-10-29 00:00:00,"BROKEN,ADDRESS,DATA,,,","{hobbies:['candidate', 'station']}"
275,Jessica Leon,20.0,female,78.0,712-921-9367,West Toddside,,1973-01-13 00:00:00,data science,110,inactive,1.35,average,85.0,1971-12-26 00:00:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['group', 'great'], 'skills': {'tech': {'python': 1, 'excel': 2, 'sql': 1}, 'soft': ['may', 'suddenly']}, 'family': {'siblings': 3, 'income': {'father': 850, 'mother': 388}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2024}]}"
276,Christopher Cruz,20.0,female,77.0,,Obrienshire,,2022-05-02 23:19:02,data science,100,active,2.66,excellent,135.0,1987-05-27 00:00:00,UZ 100679 Tashkent Maryport,"{'hobbies': ['television', 'serve'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 5}, 'soft': ['find', 'kind']}, 'family': {'siblings': 2, 'income': {'father': 612, 'mother': 1374}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2018}]}"
277,Hunter Smith,19.0,male,,+1-131-876-7285-5390,Robinsonton,,2007-04-03 20:56:59,python,102,active,0.0,excellent,299.0,1974-06-11 00:00:00,"Apartment 8, Ashleyborough district, Tashkent, UZ, 100060","{'hobbies': ['those', 'partner'], 'skills': {'tech': {'python': 5, 'excel': 4, 'sql': 4}, 'soft': ['which', 'actually']}, 'family': {'siblings': 3, 'income': {'father': 1415, 'mother': 828}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2016}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}"
278,Tracy Martin,21.0,,86.0,485-034-8428-7876,Lake Hunter,,2001-12-01 18:40:00,data science,110,inactive,0.0,excellent,100.0,1971-04-21 00:00:00,"4741 Phillips Course Apt. 019, Lake Theresafurt","{hobbies:['from', 'different']}"
279,Erica Myers,18.0,,85.0,,West Olivia,,,data science,100,inactive,2.0,,140.0,,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['support', 'support'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 5}, 'soft': ['end', 'collection']}, 'family': {'siblings': 0, 'income': {'father': 1095, 'mother': 1133}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2024}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}"
280,Audrey Moran,,,88.0,,West Shawnabury,,,ds,110,pending,2.0,good,218.0,1975-12-08 00:00:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['exist', 'politics'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 3}, 'soft': ['conference', 'commercial']}, 'family': {'siblings': 4, 'income': {'father': 1499, 'mother': 861}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2022}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
281,,18.0,female,94.0,,Brittneyburgh,dgreen@henry-marshall.com,2023-03-23 18:03:51,data science,72,pending,1.52,excellent,69.0,1992-08-16 19:39:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
282,,20.0,female,90.0,,Marciastad,,2023-05-11 19:10:41,data science,110,active,4.5,excellent,148.0,2014-09-06 00:00:00,"BROKEN,ADDRESS,DATA,,,","{hobbies:['none', 'third']}"
283,William Torres,21.0,female,,5622705245,Suzanneland,khantricia@swanson.com,1977-12-04 00:00:00,data science,110,pending,2.0,,53.0,1993-12-20 16:18:00,"978 Allison Loop Apt. 882, Whitemouth","{'hobbies': ['specific', 'me'], 'skills': {'tech': {'python': 3, 'excel': 2, 'sql': 4}, 'soft': ['hand', 'room']}, 'family': {'siblings': 5, 'income': {'father': 709, 'mother': 1412}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}"
284,Vicki Morales,21.0,female,,,North Jacqueline,harveydaniel@grimes.com,2014-08-11 06:04:00,data science,100,inactive,4.5,excellent,216.0,2007-05-22 00:00:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
285,Laura Bates,21.0,female,86.0,,Michaelfurt,,2023-10-17 18:20:34,data science,100,active,,good,85.0,1986-05-17 19:24:00,"South David 8-kv, dom 24, Tashkent",INVALID_JSON_DATA
286,Vincent Huffman,20.0,female,83.0,+1-323-312-8254-642,Lake Robin,,,data science,110,active,2.15,excellent,218.0,1992-12-30 00:00:00,UZ 100578 Tashkent New Davidmouth,INVALID_JSON_DATA
287,Jeffrey Lowe,19.0,female,90.0,+1-619-096-5066,North Erikbury,qparker@hotmail.com,1983-12-25 05:25:00,data science,100,inactive,3.91,,212.0,,"Curryhaven 5-kv, dom 5, Tashkent","{""hobbies"": [""candidate"", ""rate""], ""skills"": {""tech"": {""python"": 5, ""excel"": 4, ""sql"": 1}, ""soft"": [""information"", ""available""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 567, ""mother"": 233}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}"
288,Hannah Roberts,20.0,male,90.0,+1-990-984-2557,West Virginia,wrightalexis@lopez.biz,1970-02-27 00:00:00,python,110,pending,2.0,excellent,58.0,2020-11-12 04:44:50,"86909 Nguyen Views, Hernandezchester",INVALID_JSON_DATA
289,Joshua Guerrero,19.0,,,797-279-5514-42089,Watersberg,,2007-03-04 00:00:00,data science,110,inactive,,excellent,261.0,2020-10-16 10:39:21,UZ 100382 Tashkent Morenoview,INVALID_JSON_DATA
290,,18.0,female,,,West Richardbury,,1972-02-16 11:00:00,ds,115,pending,0.0,good,283.0,2022-07-30 14:22:02,"96315 Annette Rest, Port Charlesport","{'hobbies': ['nation', 'right'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 2}, 'soft': ['artist', 'process']}, 'family': {'siblings': 3, 'income': {'father': 1367, 'mother': 1013}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}"
291,Dennis Bishop,20.0,female,,001-054-548-1713-1279,South Sandra,,2022-11-14 16:48:13,data science,110,active,0.0,,237.0,,"Apartment 35, Huffburgh district, Tashkent, UZ, 100573","{'hobbies': ['various', 'value'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 3}, 'soft': ['myself', 'seven']}, 'family': {'siblings': 5, 'income': {'father': 906, 'mother': 1438}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}"
292,Lynn Gordon,21.0,female,90.0,(157)468-6959-9046,Johnsonchester,henry44@craig.com,1974-10-28 00:11:00,python,110,inactive,0.0,excellent,105.0,2022-11-23 00:00:00,"Port Karenborough 15-kv, dom 2, Tashkent","{hobbies:['the', 'production']}"
293,,,male,59.0,001-521-756-7290,North Vanessaberg,,2020-06-02 06:08:23,data science,100,inactive,,average,114.0,2009-08-04 00:00:00,"West Josephville 28-kv, dom 45, Tashkent","{'hobbies': ['floor', 'notice'], 'skills': {'tech': {'python': 2, 'excel': 3, 'sql': 5}, 'soft': ['sign', 'throughout']}, 'family': {'siblings': 2, 'income': {'father': 486, 'mother': 1054}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2017}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}"
294,Wendy Dunn,20.0,female,,,Stewarttown,rubencunningham@hotmail.com,1986-05-29 00:00:00,ds,100,active,4.5,good,176.0,2022-09-16 05:31:23,UZ 100431 Tashkent Garciafort,"{""hobbies"": [""make"", ""area""], ""skills"": {""tech"": {""python"": 1, ""excel"": 3, ""sql"": 5}, ""soft"": [""produce"", ""page""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 1047, ""mother"": 811}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2021}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}"
295,Elizabeth Nelson,20.0,female,84.0,,West Kenneth,,1986-11-02 00:00:00,python,110,inactive,0.0,excellent,151.0,2010-07-21 00:00:00,"Apartment 31, Lake Karen district, Tashkent, UZ, 100697",INVALID_JSON_DATA
296,,19.0,female,90.0,(942)993-4964-8673,East Robinstad,,2020-11-24 23:10:21,python,100,pending,4.5,,284.0,1980-03-07 15:28:05,"36436 Gamble Freeway Suite 098, Jeanstad","{""hobbies"": [""anything"", ""long""], ""skills"": {""tech"": {""python"": 5, ""excel"": 1, ""sql"": 3}, ""soft"": [""field"", ""fast""]}, ""family"": {""siblings"": 2, ""income"": {""father"": 1303, ""mother"": 1219}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2021}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2024}]}"
297,Tiffany Reyes,18.0,male,91.0,899-991-8816,South Pamela,sanchezkevin@yahoo.com,1975-09-06 21:44:00,python,110,inactive,3.7,good,111.0,,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['half', 'wind'], 'skills': {'tech': {'python': 5, 'excel': 1, 'sql': 3}, 'soft': ['create', 'word']}, 'family': {'siblings': 3, 'income': {'father': 524, 'mother': 1494}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}"
298,,18.0,male,78.0,,Port Hayleyport,,2019-06-20 00:00:00,data science,76,active,,good,219.0,,"5327 Anthony Rest, Russellfort","{hobbies:['into', 'office']}"
299,Vincent Collins,18.0,male,90.0,143-955-0610-77941,West Jamie,melissa37@burnett.com,1999-03-25 00:00:00,python,100,pending,2.0,average,206.0,2023-03-16 09:08:26,"780 William Summit Apt. 320, Shawnstad","{'hobbies': ['million', 'over'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 1}, 'soft': ['stop', 'enough']}, 'family': {'siblings': 5, 'income': {'father': 1419, 'mother': 1065}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
300,Jared Mckinney,18.0,,,001-513-637-7267-454,Jacksonbury,elizabeth02@hotmail.com,,data science,102,inactive,,,258.0,,"Apartment 19, North Teresaberg district, Tashkent, UZ, 100009","{""hobbies"": [""finish"", ""age""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 4}, ""soft"": [""win"", ""fall""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1342, ""mother"": 1266}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2021}]}"
301,Andrew Andrews,18.0,male,74.0,,Aprilberg,gcastillo@bishop.info,1995-05-03 21:16:50,python,110,pending,2.0,,244.0,1981-04-20 15:02:00,"410 Baker Cliffs, South Ian","{'hobbies': ['remain', 'management'], 'skills': {'tech': {'python': 2, 'excel': 3, 'sql': 3}, 'soft': ['analysis', 'respond']}, 'family': {'siblings': 0, 'income': {'father': 642, 'mother': 773}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Samsung', 'year': 2018}]}"
302,Leah Taylor,18.0,,94.0,,Richardmouth,,1986-09-17 03:10:31,python,101,active,4.5,excellent,121.0,2009-04-05 17:03:17,"Apartment 50, Johnsonfurt district, Tashkent, UZ, 100029","{hobbies:['eat', 'smile']}"
303,Lawrence Smith,,female,,004-288-8164-219,South Erinville,,,python,100,active,0.0,good,94.0,1974-04-22 00:00:00,"663 Cook Lodge Apt. 565, Yustad","{'hobbies': ['part', 'according'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 3}, 'soft': ['continue', 'modern']}, 'family': {'siblings': 3, 'income': {'father': 1134, 'mother': 809}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}"
304,John Collier,18.0,,90.0,457-743-1966,Mathewsland,,2019-07-01 14:27:24,python,98,pending,2.0,excellent,223.0,2015-06-08 17:05:00,UZ 100024 Tashkent West Jessicafurt,"{'hobbies': ['lose', 'reach'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['table', 'someone']}, 'family': {'siblings': 1, 'income': {'father': 856, 'mother': 1449}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2017}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}"
305,Kenneth Mcdonald,18.0,male,,(152)786-4631-53723,Aliciaton,,,data science,100,pending,2.0,excellent,146.0,2003-03-06 00:00:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['modern', 'exactly'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 3}, 'soft': ['put', 'central']}, 'family': {'siblings': 0, 'income': {'father': 1331, 'mother': 223}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
306,Kayla Martinez,18.0,female,,,Nelsonshire,singhmicheal@gmail.com,2023-09-16 06:01:07,ds,105,active,0.0,,243.0,1997-11-20 20:49:58,"Christopherhaven 7-kv, dom 45, Tashkent","{'hobbies': ['cost', 'computer'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 5}, 'soft': ['safe', 'manager']}, 'family': {'siblings': 5, 'income': {'father': 363, 'mother': 462}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2015}, {'type': 'phone', 'brand': 'Samsung', 'year': 2019}]}"
307,Ruth Edwards,21.0,male,65.0,001-739-105-6737-8553,Johnmouth,,2003-04-17 14:53:03,data science,100,pending,4.47,excellent,133.0,1980-08-28 01:19:06,"Apartment 44, Jonesmouth district, Tashkent, UZ, 100100",INVALID_JSON_DATA
308,Kyle Brown,,female,,+1-723-892-5634-4761,West Jennifer,,2021-07-08 05:29:06,python,116,pending,2.0,excellent,56.0,,"1120 Brittany Cliffs Suite 826, New Jordan","{'hobbies': ['conference', 'citizen'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 1}, 'soft': ['outside', 'ball']}, 'family': {'siblings': 5, 'income': {'father': 951, 'mother': 988}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}"
309,,18.0,female,68.0,792-197-1892-368,Lake Andreaburgh,,2005-11-26 00:49:43,data science,71,inactive,2.0,good,131.0,1976-06-21 23:43:21,"10040 West Lakes Suite 279, East Samanthaland","{hobbies:['serve', 'knowledge']}"
310,Rachel Parker,21.0,male,65.0,,Jordanberg,,,python,110,inactive,4.5,,149.0,2015-02-09 14:36:27,UZ 100076 Tashkent Port Lauren,"{'hobbies': ['suddenly', 'culture'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 5}, 'soft': ['head', 'old']}, 'family': {'siblings': 3, 'income': {'father': 526, 'mother': 1121}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2020}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]}"
311,Katherine Clark,20.0,female,97.0,,East Gabriellamouth,,2025-04-24 20:11:00,data science,110,active,,good,197.0,1999-06-26 03:58:13,"Michaelburgh 6-kv, dom 30, Tashkent",INVALID_JSON_DATA
312,,18.0,male,90.0,(207)457-8185-22467,Lake Jasmine,,2001-06-10 19:42:00,data science,110,active,4.29,excellent,298.0,1997-01-05 00:00:00,"Sharonland 2-kv, dom 45, Tashkent","{'hobbies': ['far', 'officer'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['sure', 'son']}, 'family': {'siblings': 3, 'income': {'father': 1378, 'mother': 513}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}"
313,Willie Hoover,20.0,female,,001-903-025-6001-9218,Fullermouth,holmessteven@hotmail.com,2009-12-25 00:00:00,python,100,inactive,2.0,average,248.0,,"Murraymouth 19-kv, dom 29, Tashkent","{'hobbies': ['pass', 'staff'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 1}, 'soft': ['specific', 'reduce']}, 'family': {'siblings': 3, 'income': {'father': 508, 'mother': 1273}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2015}, {'type': 'phone', 'brand': 'Apple', 'year': 2023}]}"
314,Jennifer Johnson,18.0,female,,+1-149-210-2553,Turnerberg,,2002-02-04 04:27:49,python,66,pending,3.7,excellent,154.0,2024-06-23 00:00:00,"Apartment 15, Pittmanchester district, Tashkent, UZ, 100280",INVALID_JSON_DATA
315,Joanne Lopez,20.0,male,90.0,979-439-5549-610,Adrianabury,,2024-04-05 00:00:00,python,110,inactive,,average,98.0,,"02174 Jennifer Greens Apt. 839, Morenomouth","{hobbies:['response', 'note']}"
316,Michele Hogan,20.0,male,,+1-807-995-5165-799,Burgessside,ssmith@hotmail.com,1980-05-22 02:05:36,data science,110,active,,average,128.0,1982-12-24 00:00:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['operation', 'toward'], 'skills': {'tech': {'python': 1, 'excel': 2, 'sql': 4}, 'soft': ['performance', 'building']}, 'family': {'siblings': 3, 'income': {'father': 869, 'mother': 375}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2023}]}"
317,Mackenzie Haas,19.0,female,64.0,,New Bruce,,1976-09-05 17:43:53,ds,110,pending,2.0,,128.0,,"New Charles 14-kv, dom 1, Tashkent","{'hobbies': ['capital', 'produce'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 3}, 'soft': ['over', 'condition']}, 'family': {'siblings': 3, 'income': {'father': 1137, 'mother': 881}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}"
318,Sarah Perez MD,19.0,male,75.0,,East Erik,ericphillips@ramirez.com,2023-02-07 23:33:04,data science,100,pending,0.0,good,216.0,2021-07-16 13:41:46,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['stand', 'father'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 1}, 'soft': ['meeting', 'parent']}, 'family': {'siblings': 5, 'income': {'father': 824, 'mother': 1340}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2017}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2024}]}"
319,Carolyn Moreno,22.0,male,82.0,,West Randy,williamslarry@hotmail.com,,python,110,pending,,excellent,230.0,2022-10-29 02:24:24,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['responsibility', 'read'], 'skills': {'tech': {'python': 3, 'excel': 3, 'sql': 1}, 'soft': ['civil', 'shoulder']}, 'family': {'siblings': 1, 'income': {'father': 319, 'mother': 400}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}"
320,Joshua Ross,20.0,,67.0,001-676-885-1567-322,Stanleymouth,,2023-08-04 00:00:00,python,97,pending,4.5,average,175.0,,"6771 Miller Crescent, Port Sarah","{""hobbies"": [""great"", ""necessary""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 3}, ""soft"": [""sometimes"", ""president""]}, ""family"": {""siblings"": 0, ""income"": {""father"": 635, ""mother"": 304}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2024}]}"
321,Shawn Collins,22.0,female,,,Brittanyburgh,,,ds,100,pending,3.7,excellent,193.0,2020-09-15 15:09:36,"Apartment 25, New Dawnburgh district, Tashkent, UZ, 100666","{'hobbies': ['evening', 'animal'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 1}, 'soft': ['page', 'woman']}, 'family': {'siblings': 3, 'income': {'father': 1288, 'mother': 465}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2017}, {'type': 'phone', 'brand': 'Apple', 'year': 2023}]}"
322,Antonio Bryan,22.0,female,90.0,,Lake Helen,adavis@hotmail.com,2010-04-14 00:00:00,ds,87,inactive,4.5,good,221.0,,"Apartment 19, East Connie district, Tashkent, UZ, 100047","{""hobbies"": [""bring"", ""sea""], ""skills"": {""tech"": {""python"": 4, ""excel"": 2, ""sql"": 3}, ""soft"": [""heart"", ""thank""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 721, ""mother"": 564}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2022}]}"
323,Barry Oneill,22.0,female,87.0,,East Emilyport,,,data science,100,active,,excellent,279.0,2011-07-28 00:00:00,"316 Elizabeth Run, South Jamesport","{""hobbies"": [""moment"", ""also""], ""skills"": {""tech"": {""python"": 5, ""excel"": 3, ""sql"": 1}, ""soft"": [""operation"", ""pretty""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 471, ""mother"": 1028}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}"
324,,,female,65.0,(786)048-2231,Jillside,,2013-10-16 00:00:00,data science,110,pending,2.0,,187.0,2023-08-16 21:29:44,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
325,Nicholas Bell,20.0,female,90.0,,Bowenfort,,,data science,110,pending,,excellent,223.0,1979-03-19 08:45:49,UZ 100190 Tashkent North Miranda,"{hobbies:['prepare', 'heavy']}"
326,Micheal Knapp,20.0,female,87.0,544-113-4366-966,Lauraport,thomaswilliams@gmail.com,2022-10-05 20:05:25,data science,64,active,4.5,excellent,229.0,2011-03-25 07:47:00,"West Robertburgh 4-kv, dom 9, Tashkent","{'hobbies': ['evidence', 'start'], 'skills': {'tech': {'python': 5, 'excel': 1, 'sql': 5}, 'soft': ['call', 'per']}, 'family': {'siblings': 3, 'income': {'father': 1235, 'mother': 1300}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2017}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}"
327,,21.0,,90.0,382-405-8081,Lake Christopher,johnsonjames@mcdonald-smith.com,,python,96,active,3.7,average,140.0,1984-08-23 21:23:37,"Apartment 11, Port Calebtown district, Tashkent, UZ, 100670","{""hobbies"": [""others"", ""you""], ""skills"": {""tech"": {""python"": 1, ""excel"": 1, ""sql"": 3}, ""soft"": [""serious"", ""onto""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 1218, ""mother"": 581}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2021}]}"
328,,19.0,female,90.0,744-565-4885-74657,Rossborough,,1998-07-13 00:00:00,python,100,inactive,4.02,excellent,167.0,2021-05-11 16:59:02,UZ 100074 Tashkent New Rodney,"{hobbies:['charge', 'energy']}"
329,,20.0,male,90.0,(646)635-8123-24076,North Rodneychester,,1974-07-10 00:00:00,ds,110,pending,0.0,good,106.0,2018-09-27 19:54:00,"607 Torres Brook Suite 210, South Joy","{'hobbies': ['institution', 'forget'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 4}, 'soft': ['go', 'prepare']}, 'family': {'siblings': 1, 'income': {'father': 1324, 'mother': 1202}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}"
330,Joseph Johnson,,male,90.0,(024)744-6407,Luisport,johnyoung@yahoo.com,1998-09-06 02:39:28,ds,110,inactive,4.5,good,57.0,1996-06-25 02:28:00,UZ 100700 Tashkent Shaunfort,"{'hobbies': ['spring', 'either'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 4}, 'soft': ['region', 'court']}, 'family': {'siblings': 0, 'income': {'father': 574, 'mother': 1222}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2017}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}"
